Peace process ID,Peace process name,iso,c_bell,c_bell_notes,l_wise,l_wise1,w_xia,w_xianotes,r_wilson,r_wilson_notes,j_pospisil,j_pospisil_notes
65,Kenya peace process,KEN,2,,,,,,,,2,long-term implementation through institutionalised commissions
66,Lebanon peace process,LBN,3,check,,,,,,,3,
67,Lebanon-Syria conflict resolution process,LBN,,check,,,,,,,,
68,Lesotho process,LSO,4,,,,,,,,,
69,Liberia peace process,LBR,4,,,,,,,,,
70,Libyan peace process,LBY,3,,,,,,3,There were talks on constitution and elections in June 2022 but Libyan leaders quit talks. ,3,"to my mind, there haven't been any movement recently"
71,Sierra Leone peace process,SLE,4,,,,,,,,,
72,Libyan local processes,LBY,6,,,,,,,,,
73,Madagascar peace process,MDG,,check,,,,,,,,
74,Mali-Azawad Inter-Azawad peace process,MLI,,check,,,,,,,,
75,Mexico-Chiapas peace process,MEX,4,,,,,,,,,
76,Moldova Transdniestria process,MDA,3,check,possibly 1 - the last meeting of the 5+2 process was in June 2023 (LW),,,,,,,
77,Morocco-Western Sahara peace process,MAR,3,,,,,,,,,
78,Mozambique process in the 90s,MOZ,4,,,,,,,,,
79,Mozambique process - recent,MOZ,,check,,,,,,,,
80,Myanmar ceasefires process with ethnic armed groups,MMR,3,,,,,,,,,
81,Nepal peace process,NPL,4,,,,,,,,,
82,Solomon Islands peace process,SLB,,check,,,,,,,,
83,Niger peace process,NER,,check,,,,,,,,
84,North Korea - South Korea interstate process,PRK,3,,,,,,,,5,I think with recent North Korean statements on South Korea being the eternal enemy now this process is terminated (and not stalled anymore)
85,Eastern Sudanese Peace Process,SDN,5,check,,,,,,,5,"dead with the civil war, changing control situations"
86,Pakistan-Taliban process,PAK,3,,,,,,,,,
87,Somalia Peace Process,SOM,1,,,,,,,,,"I would struggle to see a peace process, since al-Shabab is seen as terrorist and only fought"
88,Philippines-NDF process,PHL,3,,,,,,,,3,
89,Philippines - Cordillera process,PHL,,check,,,,,,,,
90,Philippines - Mindanao process,PHL,4,,,,,,,,4,
91,Philippines: RAM process,PHL,4,ended with 1996 amnesty granted to RAM fighters following 1995 agreement - LW,,,,,,,4,
92,Republic of Congo peace process,COG,,check,,,,,,,,
93,Chechnya peace process,RUS,5,ended in war,,,,,,,,
94,Guinea peace process,GIN,,check,,,,,,,,
95,Saudi Arabia - Yemen Border process,YEM,5,4 - successful - rw,,,,,4,"process was completed in meaningful sense with Treaty of Jeddah (2000) demarcated border with Yemen ceding contentious provinces - aspects of border conflict are always ongoing along Saudi border, still seen now in mediation.",5,
96,Kurdistan/Iraq territorial conflict,IRQ,3,,,,,,,,,
97,Colombia I - Gaviria,COL,5,,,,,,,,5,
98,Colombia II - Samper,COL,5,,,,,,,,5,
99,Colombia III - Arango,COL,5,,,,,,,,5,
100,Colombia IV - Uribe,COL,5,,,,,,,,5,
101,Colombia V - Santos,COL,2,,,,,,,,2,
102,Somalia-Puntland Peace Process,SOM,1,check,,,,,,,1,
103,Somali Local Peace Processes,SOM,6,check,,,,,,,6,
104,Somaliland-Puntland Peace Process,SOM,3,check,,,,,,,3,
105,South Africa peace process,ZAF,4,,,,,,,,,
106,South Africa - Namibia process,NAM,4,,,,,,,,,
107,South Sudan post-secession process,SSD,1,,,,,,,,1,
108,Intra-Kurdish process,,,check,,,,,,,,
109,Sudanese (North-South) peace process,SSD,4,"would say that CPA is over in ways a 5, as secession, but that was in agreement so 4.",,,,,,,2,
110,North - South Sudan secession process,SDN,4,,,,,,,,2,
111,Kordofan - Blue Nile - Abyei process,SSD,3,check,,,,,,,3,
112,Spain - Basque internal process,ESP,4,could be changed to a 2,,,,,,,,
113,Sri Lanka Kumaratunga/Devolution Processes,LKA,5,,,,,,,,5,
114,Sri Lanka LTTE 2002 onward process,LKA,5,,,,,,,,5,
115,Syrian peace process,SYR,3,,,Dispute comment,,,name dispute comment,,,
116,Tajikistan peace process,TJK,,check,,,,,,,,
117,Thailand peace process,THA,1,ongoing - next round of talks scheduled for february 2024. suggest renaming to 'Southern Thailand peace process' - LW,,,,,,,,
118,Togo peace process,TGO,,check,,,,,,,,
119,Tunisia reform process,TUN,3,"in ways completed, but now reversed. So could also be 2 or 5",,,,,,,,
120,Uganda peace process,UGA,5,"LRA moved across border, did not really terminate, but is also ongoing.  Could be a 2",,,,,,,4,
121,Ukraine peace process,UKR,5,"NOTE:  should we really call this the Ukraine-Russia-Areas Process, leaving out word peace ",,,,,,,5,
122,Yemen unification process,YEM,4,,,,,,,,4,
123,Yemen peace process,YEM,1,,,,,,,,3,
124,Zimbabwe post-election process,ZWE,5,,,,,,,,,
125,Bosnia peace process,BIH,2,"still OHR in place, although no real agreement making and not much implementation unless we count 'accession' (which I would count as not really same thing).",,,,,,,2,
126,Dissolution of Yugoslavia,HRV,5,check,terminated by a) subsequent military interventions b) peace processes relating to specific republics - LW,,,,,,5,
127,Croatia negotiation process,HRV,5,"terminated by operation storm - although final agreement then signed and implemented, so could be 4? LW",,,,,,,5,
128,Bosnia Local peace processes,BIH,4,,,,,,,,2,
129,Kosovo process,,2,some land swap issues and Eu membership  ,"I would argue 5 - that the process ended with kosovo independence/unilateral implementation of the Ahtisari plan, and now we are in the normalization process - LW",,,,,,2,
130,Presevo Valley process,SRB,4,ended with Covic plan and Coordinaton Body for Southern Serbia was implemented (LW),,,,,,,,
131,Macedonia peace process,MKD,4,,,,,,,,,
132,India-Assam agreement,IND,,check,,,,,,,,
133,Intra-Syrian Process (state/non-state),SYR,,check,,,,,,,,
134,Chad-Sudan Agreements,TCD,,check,,,,,,,,
135,India - Manipur,IND,,check,,,,,,,,
136,Nigeria - Plateau State Process,NGA,,check,,,,,3,"resurging violence as of summer 2022 and into summer 2023, stakeholders still meeting to have discussions eg. with Plateau State Peacebuilding org and USAID / Mercy Corps etc",,
137,Cabinda process,AGO,,check  Should this have a different name?  As is a sub-region.,could rename as Angola-Cabinda?,,,,,,,
138,Syrian Local Agreements,SYR,6,,,,,,,,6,
139,Post-WWII Germany normalisation process,,4,,,,,,,,4,
140,Kenya Local Agreements,KEN,6,,,,,,,,6,
141,Burundi: 2015 onwards process,BDI,3,,,,,,,,,
142,Gabon: Transition II process,,,check,,,,,,,,
143,Palestine: Fatah-Hamas process,,5,check,,,,,,,5,
144,Colombia VI - Government-ELN post-2015 process,COL,1,,,,,,,,1,
145,Yemen Inter-group Agreements,YEM,6,,,,,,,,,
146,Kosovo-Serbia Normalisation Process,,3,or maybe 2?  Check,"I think 2 - process is ongoing to implement 2013 normalization agreement, but stuck on issue of kosovo recognition - LW",,,,,,2,
147,Philippines-Mindanao: Local Processes,PHL,6,,,,,,,,6,
148,Burundi: Local Process,BDI,6,,,,,,,,,
149,Niger local agreements,NER,6,,,,,,,,,
150,DRC: local agreements (East),COD,6,,,,,,,,6,
151,South Sudan: Post-secession Local agreements,SSD,6,,,,,,,,6,
152,Nigeria - local agreements,NGA,6,,,,,,,,,
153,Mali Local Processes,MLI,6,,,,,,,,,
154,CAR: African Initiative (and related) Process,CAF,,check,,,,,,,,
155,CAR: Local Processes,CAF,6,,,,,,,,,
156,Sudan Transition Process,SDN,5,would tend to say terminated as any new process would be new. ,does this mean we need a new process for 2023 humanitarian agreements/ceasefires for sudan? - LW,,,,,,5,
157,Kenya-Ethiopia local cross-border talks,KEN,,check,,,,,,,,
158,Nepal related-local processes,NPL,6,,,,,,,,,
159,Mali - Niger: local agreements in border areas,MLI,6,,,,,,,,,
160,CAR - Sudan: local cross-border agreements,CAF,6,,,,,,,,,
161,Armenia-Azerbaijan-Nagorno Karabakh: Process 2020,ARM,,check,"What is the difference between 161 and 162 - is it essentially the difference between OSCE and Russia-led processes? If so, might need different name for 161 as the Minsk Process was also active in 2020? E.g. the 2020 conflict is commonly referred to as the Second Nagorno-Karabakh War (LW)",,,,,,,
162,Armenia-Azerbaijan-Nagorno Karabakh: OSCE Minsk Process,ARM,,check,Minsk Process seems to have stalled in 2021 - but wonder if it would be a 5 since Azerbaijan re-captured Nagorno Karabakh in September 2023? - LW,,,,,,,
163,Kyrgyzstan–Tajikistan Border Process,KGZ,1,talks have been held for the past 6 months according to news sources - LW,,,,,,,,
164,Myanmar 21st Century Panglong Process,MMR,5,,,,,,,,,
165,Sudan Local Processes,SDN,6,,,,,,,,6,
166,Iraq Post-ISIS local agreements,IRQ,6,,,,,,,,,
168,Afghanistan Islamic-Emirates-intra-Afghan,AFG,5,terminated by taliban takeover,,,,,,,,
169,DRC: EAC-led Nairobi process for Eastern DRC,COD,5,check,,,,,,,5,
170,Ukraine - Russia: interstate agreements,UKR,5,check,,,,,,,5,
171,Ghana: Local peace processes in Northern Region,GHA,6,,,,,,,,,
172,Ethiopia: Tigray process,ETH,1,"check, thinkg 4 or 5, check alex",,,,,,,1,
173,DRC: Angola-led process for Eastern DRC,COD,,check,,,,,,,,
174,Chad: Doha process,TCD,,check,,,,,,,,
